group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
שמות עצם,single,N/A,"מועצה, מושב",‏مَجْلِس,N/A,N/A
שמות עצם,plural,N/A,"מועצה, מושב",‏مَجَالِس,N/A,N/A
שמות עצם,single,N/A,"עיבוי, הגברה",‏تَكْثِيف,N/A,N/A
שמות עצם,single,N/A,הגירה (גם כינוי לעליית היהודים לישראל),‏هِجْرَة,N/A,N/A
שמות עצם,single,N/A,מאמץ (ל...),‏جُهْد,N/A,N/A
שמות עצם,plural,N/A,מאמץ (ל...),‏جُهُود فِي,N/A,N/A
שמות עצם,single,N/A,"תקשורת, מגעים (צורת מצדר רבים בניין 8)",‏إِتِّصَالَات,N/A,N/A
שמות עצם,single,N/A,שר התקשורת,‏وَزِير اُلْإِتِّصَالَات,N/A,N/A
שמות עצם,single,N/A,"חברה (society), קהילה",‏مُجْتَمَع,N/A,N/A
שמות עצם,single,N/A,"אדמה, קרקע, רצפה (נקבה)",‏أَرْض,N/A,N/A
שמות עצם,single,N/A,"האדמות הכבושות, השטחים הכבושים",‏أَلْأَرَاضِي اُلْمُحْتَلَّة,N/A,N/A
שמות עצם,single,N/A,גיל (age),‏عُمْر,N/A,N/A
שמות עצם,plural,N/A,גיל (age),‏أَعْمَار,N/A,N/A
שמות עצם,single,N/A,"גילו מגיע לשנתיים, הוא בן שנתיים",‏يَبْلُغُ عُمْرُهُ سَنَتَيْنِ,N/A,N/A
שמות עצם,single,N/A,עולם,‏عَالَم,N/A,N/A
שמות עצם,single,N/A,הורה,‏وَالِد,N/A,N/A
שמות עצם,plural,N/A,הורה,‏وَالِدُون,‏أَلْوَالِدَان,N/A
מיליות,single,N/A,בלבד,‏فَقَطْ,N/A,N/A
שמות תואר,single,N/A,"הקודם, לשעבר (בעיקר לגבי בעל תפקיד)",‏أَلسَّابِق,N/A,N/A
שמות תואר,plural,N/A,"הקודם, לשעבר (בעיקר לגבי בעל תפקיד)",‏أَلسَّابِقُون,N/A,N/A
שמות תואר,single,N/A,רחוק מ...,‏بَعِيد,N/A,N/A
שמות תואר,plural,N/A,רחוק מ...,‏بُعَاد عَنْ,N/A,N/A
פעלים,single,N/A,שם קץ ל...,‏وَضَعَ حَدًّا لِ,N/A,N/A
פעלים,single,N/A,לשים (שימת) קץ ל...,‏وَضْعُ حَدٍّ لِ,N/A,N/A
פעלים,single,N/A,"השיג, רכש",‏حَصَلَ عَلَى,N/A,N/A
פעלים,single,N/A,"קרה, אירע",‏حَصَلَ,N/A,N/A
פעלים,single,N/A,הציג את בפני...,‏عَرَضَ عَلَى,N/A,N/A
פעלים,single,N/A,התעייף,‏تَعِبَ,N/A,N/A
פעלים,single,N/A,שמח,‏فَرِحَ,N/A,N/A
פעלים,single,N/A,השקיע מאמצים,‏بَذَلَ جُهُودًا,N/A,N/A
