group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
שמות עצם,single,N/A,"גשר",‏جِسْر,N/A,N/A
שמות עצם,plural,N/A,"גשר",‏جُسُور,N/A,N/A
שמות עצם,single,N/A,"תנועה (תזוזה, תנועה פוליטית)",‏حَرَكَة,N/A,N/A
שמות עצם,plural,N/A,"תנועה (תזוזה, תנועה פוליטית)",‏حَرَكَات,N/A,N/A
שמות עצם,single,N/A,"משאית",‏شَاحِنَة,N/A,N/A
שמות עצם,plural,N/A,"משאית",‏شَاحِنَات,N/A,N/A
שמות עצם,single,N/A,"נסיך",‏أَمِير,N/A,N/A
שמות עצם,plural,N/A,"נסיך",‏أُمَرَاء,N/A,N/A
שמות עצם,single,N/A,"מטוס קרב",‏طَائِرَة مُقَاتِلَة,N/A,N/A
שמות עצם,plural,N/A,"מטוס קרב",‏طَائِرَات مُقَاتِلَة,N/A,N/A
שמות עצם,single,N/A,"תמרון (תרגיל צבאי בהיקף גדול)",‏مُنَاوَرَة,N/A,N/A
שמות עצם,plural,N/A,"תמרון (תרגיל צבאי בהיקף גדול)",‏مُنَاوَرَات,N/A,N/A
שמות עצם,single,N/A,"ברית נאט""ו (מיל': ברית צפון [האוקיינוס] האטלנטי)",‏حِلْف شَمَال ٱلْأَطْلَسِيّ,N/A,N/A
שמות עצם,single,N/A,"לילה (בניגוד ליום)",‏لَيْل,N/A,N/A
שמות עצם,single,N/A,"לילה (מסוים)",‏لَيْلَة,N/A,N/A
שמות עצם,single,N/A,"בית, מגורים",‏مَنْزِل,N/A,N/A
שמות עצם,plural,N/A,"בית, מגורים",‏مَنَازِل,N/A,N/A
שמות עצם,single,N/A,"מחנה (פליטים), מאהל",‏مُخَيَّم,N/A,N/A
שמות עצם,plural,N/A,"מחנה (פליטים), מאהל",‏مُخَيَّمَات,N/A,N/A
שמות עצם,single,N/A,"פליט",‏لَاجِئ,N/A,N/A
שמות עצם,plural,N/A,"פליט",‏لَاجِئُونَ,N/A,N/A
שמות עצם,single,N/A,"מחנה פליטים",‏مُخَيَّم لَاجِئِينَ,N/A,N/A
שמות עצם,single,N/A,"רעול פנים (ש""ע / ש""ת)",‏مُلَثَّم,N/A,N/A
שמות עצם,plural,N/A,"רעול פנים (ש""ע / ש""ת)",‏مُلَثَّمُونَ,N/A,N/A
שמות עצם,single,N/A,"מרחק",‏مَسَاقَة,N/A,N/A
שמות עצם,plural,N/A,"מרחק",‏مَسَاقَات,N/A,N/A
שמות עצם,single,N/A,"אלמוני, בלתי מזוהה (ש""ע / ש""ת)",‏مَجْهُول,N/A,N/A
שמות עצם,plural,N/A,"אלמוני, בלתי מזוהה (ש""ע / ש""ת)",‏مَجْهُولُونَ,N/A,N/A
שמות עצם,single,female,"אֵשׁ",‏نَار,N/A,N/A
שמות עצם,single,N/A,"התקפה, פשיטה",‏غَارَة,N/A,N/A
שמות עצם,plural,N/A,"התקפה, פשיטה",‏غَارَات,N/A,N/A
פעלים,single,N/A,"הנחית את (מהלומה) על...",‏شَنَّ عَلَى,N/A,N/A
פעלים,single,N/A,"ירה על, פתח באש על",‏فَتَحَ ٱلنَّار عَلَى,N/A,N/A
פעלים,single,N/A,"ישב",‏جَلَسَ,N/A,N/A
פעלים,single,N/A,"הרס את, החריב את",‏دَمَّرَ,N/A,N/A
פעלים,single,N/A,"ירה על, פתח באש על",‏أَطْلَقَ ٱلنَّار عَلَى,N/A,N/A
פעלים,single,N/A,"נחשף ל..., היה נתון ב...",‏تَعَرَّضَ لِ,N/A,N/A
פעלים,single,N/A,"התברר, היה ברור",‏تَبَيَّنَ,N/A,N/A
פעלים,single,N/A,"חדר ל..., פרץ את",‏إِخْتَرَقَ,N/A,N/A
פעלים,single,N/A,"היה שלם, הושלם, נגמר",‏إٍسْتَكْمَلَ,N/A,N/A
