group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
שמות עצם,single,N/A,"איש, בן־אדם",‏إِنْسَان,N/A,N/A
שמות עצם,plural,N/A,"איש, בן־אדם",‏نَاس,N/A,N/A
שמות עצם,single,N/A,"אנושיות, אנושות",‏إِنْسَانِيَّة,N/A,N/A
שמות עצם,single,N/A,זמן,‏وَقْت,N/A,N/A
שמות עצם,plural,N/A,זמן,‏أَوْقَات,N/A,N/A
שמות עצם,single,N/A,צַעַד,‏خُطْوَة,N/A,N/A
שמות עצם,plural,N/A,צַעַד,‏خُطُوَات,N/A,N/A
שמות עצם,single,N/A,"צמיחה, התפתחות",‏نُمُوّ,N/A,N/A
שמות עצם,single,N/A,הזכות להגדרה עצמית,‏حَقّ تَقْرِير ٱلْمَصِير,N/A,N/A
שמות עצם,single,N/A,זכויות האדם,‏حُقُوق ٱلْإِنْسَان,N/A,N/A
שמות עצם,single,N/A,"אגודה, עצרת",‏جَمْعِيَّة,N/A,N/A
שמות עצם,plural,N/A,"אגודה, עצרת",‏جَمْعِيَّات,N/A,N/A
שמות עצם,single,N/A,"עוול, עושק, קיפוח, אי צדק",‏ظُلْم,N/A,N/A
שמות עצם,single,N/A,"חוקיות, לגיטימיות",‏شَرْعِيَّة,N/A,N/A
מילות יחס,single,N/A,בעוד ש... במה ש...,‏فِيمَا,N/A,N/A
תיאורים,single,N/A,מאוד,‏جِدًّا,N/A,N/A
תיאורים,single,N/A,פתאום,‏فَجْأَةً,N/A,N/A
שמות תואר,single,N/A,מסכן,‏مِسْكِين,N/A,N/A
שמות תואר,single,N/A,חזק,‏شَدِيد,N/A,N/A
שמות תואר,single,N/A,כָבֵד,‏ثَقِيل,N/A,N/A
שמות תואר,single,N/A,עייף,‏تَعْبَان,N/A,N/A
שמות תואר,single,N/A,אנושי,‏إِنْسَانِيّ,N/A,N/A
שמות תואר,single,N/A,"עצום, גדול, כביר",‏عَظِيم,N/A,N/A
ביטויים,single,N/A,"חובה (על...) ל (לעשות), יש ל (לעשות)",‏يَجِبُ عَلَى أَنْ,N/A,N/A
ביטויים,single,N/A,אין ספק,‏لَا شَكَّ,N/A,N/A
ביטויים,single,N/A,אין מנוס מ...,‏لَا بُدَّ مِنْ,N/A,N/A
פעלים,single,N/A,"התפתח, צמח, שגשג, גדל",‏نَمَا,N/A,N/A
פעלים,single,N/A,"גרש את מ..., הבריח את מ...",‏شَرَّدَ عَنْ,N/A,N/A
פעלים,single,N/A,חִלֵּק את ל...,‏قَسَّمَ إِلَى,N/A,N/A
פעלים,single,N/A,"התקדם, התפתח, השתנה",‏تَطَوَّرَ,N/A,N/A
