group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
מספרים,single,male,"אחד ה... (משמש נסמך, כמו: אחד הילדים)",‏أَحَد,N/A,N/A
מספרים,single,female,"אחת ה... (משמש נסמך, כמו: אחד הילדים)",‏إِحْدَى,N/A,N/A
מספרים,single,male,"אחד (משמש שם־תואר, כמו: איש אחד)",‏وَاحِد,N/A,N/A
מספרים,single,female,"אחת (משמש שם־תואר, כמו: אישה אחת)",‏وَاحِدَة,N/A,N/A
מספרים,single,male,שניים,‏إِثْنَانِ,‏ٱثْنَانِ,N/A
מספרים,single,female,שתיים,‏إِثْنَتَانِ,‏ٱثْنَتَانِ,N/A
מספרים,single,male,שלושה,‏ثَلَاثَة,N/A,N/A
מספרים,single,female,שלוש,‏ثَلَاث,N/A,N/A
מספרים,single,male,ארבעה,‏أَرْبَعَة,N/A,N/A
מספרים,single,female,ארבע,‏أَرْبَع,N/A,N/A
מספרים,single,male,חמישה,‏خَمْسَة,N/A,N/A
מספרים,single,female,חמש,‏خَمْس,N/A,N/A
מספרים,single,male,שישה,‏سِتَّة,N/A,N/A
מספרים,single,female,שש,‏سِتّ,N/A,N/A
מספרים,single,male,שבעה,‏سَبْعَة,N/A,N/A
מספרים,single,female,שבע,‏سَبْع,N/A,N/A
מספרים,single,male,שמונה,‏ثَمَانِيَة,N/A,N/A
מספרים,single,female,שמונה (נסמך),‏ثَمَانِي,N/A,N/A
מספרים,single,male,תשעה,‏تِسْعَة,N/A,N/A
מספרים,single,female,תשע,‏تِسْع,N/A,N/A
מספרים,single,male,עשרה,‏عَشَرَة,N/A,N/A
מספרים,single,female,עשר,‏عَشْر,N/A,N/A
