group,number,gender,Word hebrew,Word arabic,Word arabic alias
שמות עצם,single,N/A,"מקום, מעמד, סטטוס (לעומת מקום [פיזי])",‏مَكَانَة,N/A
שמות עצם,single,N/A,"סֶקֶר, מודיעין",‏إِسْتِطْلَاع,N/A
שמות עצם,single,N/A,דעה,‏رَأْي,N/A
שמות עצם,plural,N/A,דעה,‏آرَاء,N/A
שמות עצם,single,N/A,תוצאה,‏نَتِيجَة,N/A
שמות עצם,plural,N/A,תוצאה,‏نَتَائِج,N/A
שמות עצם,single,N/A,תבוסה,‏هَزِيمَة,N/A
שמות עצם,plural,N/A,תבוסה,‏هَزَائِم,N/A
שמות עצם,single,N/A,דואר,‏بَرِيد,N/A
שמות עצם,single,N/A,"הון, קפיטל",‏رَأْسْمَال,N/A
שמות עצם,single,N/A,קפיטליזם,‏رَأْسُمَالِيَّة,N/A
שמות עצם,single,N/A,"משטר, מערכת, סֵדֶר",‏نِظَام,N/A
שמות עצם,plural,N/A,"משטר, מערכת, סֵדֶר",‏أَنْظِمَة,N/A
שמות עצם,single,N/A,"רחוב, כביש",‏شَارِع,N/A
שמות עצם,plural,N/A,"רחוב, כביש",‏شَوَارِع,N/A
שמות עצם,single,N/A,קבלת החלטה,‏إِتِّخَاذ قَرَار,N/A
שמות עצם,single,N/A,נקיטת עמדה,‏إِتِّخَاذ مَوْقِف,N/A
שמות עצם,single,N/A,נקיטת צעדים,‏إِتِّخَاذ إِجْرَاءَات,N/A
תיאורים,single,N/A,"באופן שרירותי, ללא הבחנה",‏عَشْوَائِيًّا,N/A
תיאורים,single,N/A,כתוצאה מ...,‏نَتِيجَةً لِ,N/A
פעלים,single,N/A,האשים את ב...,‏اِتَّهَمَ بِ,N/A
פעלים,single,N/A,"קרה, אירע",‏وَقَعَ,N/A
פעלים,single,N/A,ייבא,‏اِسْتَوْرَدَ,N/A
פעלים,single,N/A,"התנחל, התיישב",‏اِسْتَوْطَنَ,N/A
פעלים,single,N/A,קלט,‏اِسْتَوْعَبَ,N/A
פעלים,single,N/A,"נקט, קיבל (החלטה)",‏اِتَّخَذَ,N/A
