group,number,gender,Word hebrew,Word arabic,Word arabic alias
שמות עצם,single,N/A,נוסע (passenger),‏مُسَافِر,N/A
שמות עצם,plural,N/A,נוסע (passenger),‏مُسَافِرونَ,N/A
שמות עצם,single,N/A,כתב עת,‏مَجَلَّة,N/A
שמות עצם,plural,N/A,כתב עת,‏مَجَلَّات,N/A
שמות עצם,single,N/A,קורס,‏دَوْرَة,N/A
שמות עצם,plural,N/A,קורס,‏دَوْرَات,N/A
שמות עצם,single,N/A,מורה,‏مُعَلِّم,N/A
שמות עצם,plural,N/A,מורה,‏مُعَلِّمونَ,N/A
שמות עצם,single,N/A,"הריגה, מוות",‏مَقْتَل,N/A
שמות עצם,single,N/A,פעם,‏مَرَّة,N/A
שמות עצם,plural,N/A,פעם,‏مَرَّات,N/A
שמות עצם,single,N/A,"בפעם הראשונה, לראשונה",‏لأَوَّل مَرَّة,N/A
שמות עצם,single,N/A,משפחה,‏عَائِلَة,N/A
שמות עצם,plural,N/A,משפחה,‏عَائِلَات,N/A
שמות עצם,single,N/A,בית חולים,‏مُسْتَشْفًى,‏أَلْمُسْتَشْفَى
שמות עצם,plural,N/A,בית חולים,‏مُسْتَشْفَيَات,N/A
שמות עצם,single,N/A,פצוע,‏جَرِيح,N/A
שמות עצם,plural,N/A,פצוע,‏جَرْحَى,N/A
שמות עצם,single,N/A,הרוג,‏قَتِيل,N/A
שמות עצם,plural,N/A,הרוג,‏قَتْلَى,N/A
שמות עצם,single,N/A,"עמדה, מוצב, אתר אינטרנט",‏مَوْقِع,N/A
שמות עצם,plural,N/A,"עמדה, מוצב, אתר אינטרנט",‏مَوَاقِع,N/A
שמות עצם,single,N/A,"אזרח, אזרחי (ש״ע + ש״ת) (civilian)",‏مَدَنِيّ,N/A
שמות עצם,plural,N/A,"אזרח, אזרחי (ש״ע + ש״ת) (civilian)",‏مَدَنِيّونَ,N/A
שמות עצם,single,N/A,מוקש,‏لُغْم,N/A
שמות עצם,plural,N/A,מוקש,‏أَلْغَام,N/A
שמות עצם,single,N/A,מכונית תופת (מכונית ממוקשת),‏سَيَّارَة مَلْغُومَة,N/A
שמות תואר,single,N/A,מסוכן,‏خَطِر,N/A
שמות תואר,single,N/A,חמור,‏خَطِير,N/A
שמות תואר,single,N/A,נמוך,‏مُنْخَفِض,N/A
מיליות,single,N/A,"מאז, מזה (ימים, שנים)",‏مُنْذُ,N/A
מיליות,single,N/A,כ... כמו (כ׳ הדמיון וההשוואה),‏كَ,N/A
מיליות,single,N/A,אצל,‏لَدَى,‏عِنْدَ
מיליות,single,N/A,מאחורי,‏وَرَاءَ,N/A
מיליות,single,N/A,מתחת ל...,‏تَحْتَ,N/A
