group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
שמות עצם,single,N/A,"מילה",‏كَلِمَة,N/A,N/A
שמות עצם,plural,N/A,"מילה",‏كَلِمَات,N/A,N/A
שמות עצם,single,N/A,"תשבץ",‏كَلِمَات مُتَقَاطِعَة,N/A,N/A
שמות עצם,single,N/A,"חג",‏عِيد,N/A,N/A
שמות עצם,plural,N/A,"חג",‏أَعْيَاد,N/A,N/A
שמות עצם,single,N/A,"שוּרה",‏سَطْر,N/A,N/A
שמות עצם,plural,N/A,"שוּרה",‏سُطُور,N/A,N/A
שמות עצם,single,male,"אחד, מישהו, אַחַד...",‏أَحَد,N/A,N/A
שמות עצם,single,female,"אַחַת...",‏إِحْدَى,N/A,N/A
שמות עצם,single,N/A,"ארון",‏خِزَانَة,N/A,N/A
שמות עצם,plural,N/A,"ארון",‏خِزَانَات,N/A,N/A
שמות עצם,single,N/A,"זמן",‏حِين,N/A,N/A
שמות עצם,plural,N/A,"זמן",‏أَحْيَان,N/A,N/A
שמות עצם,single,N/A,"רֶגע",‏لَحْظَة,N/A,N/A
שמות עצם,plural,N/A,"רֶגע",‏لَحَظَات,N/A,N/A
שמות עצם,single,N/A,"""שר המדינה"", שר בלי תיק",‏وَزِير ٱلدَّوْلَة,N/A,N/A
שמות עצם,single,N/A,"תשובה",‏جَوَاب,N/A,N/A
שמות עצם,plural,N/A,"תשובה",‏أَجْوِبَة,N/A,N/A
שמות עצם,single,N/A,"תגובה, תשובה",‏رَدّ,N/A,N/A
שמות עצם,plural,N/A,"תגובה, תשובה",‏رُدُود,N/A,N/A
שמות עצם,single,N/A,"שָדֶה, שטח, תחום, כיכר",‏مَيْدَان,N/A,N/A
שמות עצם,plural,N/A,"שָדֶה, שטח, תחום, כיכר",‏مَيَادِين,N/A,N/A
שמות עצם,single,N/A,"אנרגיה, משאב",‏طَاقَة,N/A,N/A
שמות עצם,plural,N/A,"אנרגיה, משאב",‏طَاقَات,N/A,N/A
שמות עצם,single,N/A,"צורה, אופן",‏شَكْل,N/A,N/A
שמות עצם,plural,N/A,"צורה, אופן",‏أَشْكَال,N/A,N/A
שמות עצם,single,N/A,"תנאי",‏شَرْط,N/A,N/A
שמות עצם,plural,N/A,"תנאי",‏شُرُوط,N/A,N/A
שמות עצם,single,N/A,"תכנית, דגם, מתכונת",‏نَمُوذَج,N/A,N/A
שמות עצם,plural,N/A,"תכנית, דגם, מתכונת",‏نَمَاذِج,N/A,N/A
שמות עצם,single,N/A,"ראש",‏رَأْس,N/A,N/A
שמות עצם,plural,N/A,"ראש",‏رُؤُوس,N/A,N/A
שמות עצם,single,N/A,"מטרה, חֵפֶץ",‏غَرَض,N/A,N/A
שמות עצם,plural,N/A,"מטרה, חֵפֶץ",‏أَغْرَاض,N/A,N/A
שמות תואר,single,N/A,"מזוין, חמוש",‏مُسَلَّح,N/A,N/A
שמות תואר,plural,N/A,"מזוין, חמוש",‏مُسَلَّحُونَ,N/A,N/A
שמות תואר,single,N/A,"גרעיני",‏ذَرِّيّ,‏نَوَوِيّ,N/A
שמות תואר,single,N/A,"נכון",‏صَحِيح,N/A,N/A
תיאורים,single,N/A,"בזמן ש..., בשעה ש...",‏حِينَ,N/A,N/A
פעלים,single,N/A,"הגיב על, ענה על",‏رَدَّ عَلَى,N/A,N/A
פעלים,single,N/A,"חיפש, ערך חיפוש",‏فَتَّشَ,N/A,N/A
פעלים,single,N/A,"תכנן, הגה (תכנית, רעיון)",‏صَمَّمَ,N/A,N/A
פעלים,single,N/A,"היה בעל, היה ברשותו",‏اِمْتَلَكَ,N/A,N/A
ביטויים,single,N/A,"בתשובה, בתגובה על",‏رَدًّا عَلَى,N/A,N/A
ביטויים,single,N/A,"בצורה חותכת, בפסקנות",‏بِشَكْل قَاطِع,N/A,N/A
