group,number,gender,Word hebrew,Word arabic,Word arabic alias
שמות עצם,single,N/A,משבר,‏أَزْمَة,N/A
שמות עצם,plural,N/A,משבר,‏أَزَمَات,N/A
שמות עצם,single,N/A,מפרץ,‏خَلِيج,N/A
שמות עצם,single,N/A,שנה,‏عَام,‏سَنَة
שמות עצם,plural,N/A,שנה,‏أَعْوَام,N/A
שמות עצם,single,N/A,ציוד,‏مُعَدَّات,N/A
שמות עצם,single,N/A,התקפה,‏هَجْمَة,N/A
שמות עצם,plural,N/A,התקפה,‏هَجَمَات,N/A
שמות עצם,single,N/A,זמן,‏آن,N/A
שמות עצם,single,N/A,"עכשיו, עתה, כעת",‏أَلآن,N/A
מדינות,single,N/A,כווית,‏أَلْكُوَيْت,N/A
מדינות,single,N/A,סודאן,‏أَلسُّودَان,N/A
מדינות,single,N/A,לבנון,‏لُبْنَان,N/A
מדינות,single,N/A,עיראק,‏أَلْعِرَاق,N/A
מדינות,single,N/A,ירדן,‏أَلْأُرْدُنّ,N/A
מדינות,single,N/A,מרוקו,‏أَلْمَغْرِب,N/A
שמות תואר,single,N/A,"מוכן ל..., כשר ל...",‏جَاهِز لِ,N/A
שמות תואר,single,N/A,אווירי,‏جَوِّيّ,N/A
שמות תואר,single,N/A,"ברור, מובהק",‏وَاضِح,N/A
שמות תואר,single,N/A,דו־צדדי,‏ثُنَائِيّ,N/A
שמות תואר,single,N/A,אח (מאב ומאם),‏شَقِيق,N/A
שמות תואר,plural,N/A,אח (מאב ומאם),‏أَشِقَّاء,N/A
מיליות,single,N/A,נגד,‏ضِدَّ,N/A
מיליות,single,N/A,"עד, עד ש..., כדי ש..., אפילו",‏حَتَّى,N/A
מיליות,single,N/A,עד עתה,‏حَتَّى ٱلْآن,N/A
מיליות,single,N/A,"כמו כן, כפי ש... (+ פועל)",‏كَمَا,N/A
מיליות,single,N/A,"כמו כן (+ ש""ע / כינוי)",‏كَمَا أَنَّ,N/A
