group,number,gender,Word hebrew,Word arabic,Word arabic alias
שמות עצם,single,N/A,מחיר,‏ثَمَن,N/A
שמות עצם,single,N/A,מאה,‏مِئَة,N/A
שמות עצם,plural,N/A,מאה,‏مِئَات,N/A
שמות עצם,single,N/A,אֶלֶף,‏أَلْف,N/A
שמות עצם,plural,N/A,אֶלֶף,‏آلَاف,N/A
שמות עצם,single,N/A,מיליון,‏مِلْيُون,N/A
שמות עצם,plural,N/A,מיליון,‏مَلَايِين,N/A
שמות עצם,single,N/A,דֶלֶק,‏وَقُود,‏مَحْرُوقَات
שמות עצם,single,N/A,מסחר,‏تِجَارَة,N/A
שמות עצם,single,N/A,מוסלמי,‏مُسْلِم,N/A
שמות עצם,plural,N/A,מוסלמי,‏مُسْلِمُون,N/A
שמות עצם,single,N/A,הסכם,‏إِتِّفَاق,‏إِتِّفَاقِيَّة
שמות תואר,single,N/A,"מצוי, נמצא",‏مَوْجُود,N/A
שמות תואר,single,N/A,"נוכחי, עכשווי",‏أَلرَّاهِن,N/A
שמות תואר,single,N/A,בלתי אפשרי,‏مُسْتَحِيل,N/A
שמות תואר,single,N/A,אי אפשר ל... (בלתי אפשרי ל/ש...),‏مِنَ ٱلْمُسْتَحِيل أَنْ,N/A
שמות תואר,single,N/A,מסחרי,‏تِجَارِيّ,N/A
שמות תואר,single,N/A,"מקומי, עירוני",‏بَلَدِيّ,N/A
פעלים,single,N/A,טען,‏زَعَمَ,N/A
פעלים,single,N/A,הבריח,‏هَرَّبَ,N/A
פעלים,single,N/A,החליט ל.,‏قَرَّرَ,N/A
פעלים,single,N/A,ניסה ל.,‏حَاوَلَ,N/A
פעלים,single,N/A,"הודיע (על), הכריז, פרסם",‏أَعْلَنَ,N/A
פעלים,single,N/A,שלח ל... את,‏أَرْسَلَ إِلَى,N/A
פעלים,single,N/A,"דיווח ל... על, עדכן את... ב…",‏أَبْلَغَ,N/A
פעלים,single,N/A,"הכשיל, סיכל",‏أَحْبَطَ,N/A
פעלים,single,N/A,"ציפה ל..., חיכה ל....",‏إِنْتَظَرَ,N/A
פעלים,single,N/A,"עצר את, שם את... במעצר",‏إِعْتَقَلَ,N/A
