group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
חודשי השנה,single,N/A,ינואר,‏شَهْر كَانُون ٱلثَّانِي,N/A,N/A
חודשי השנה,single,N/A,פברואר,‏شَهْر شُبَاط,N/A,N/A
חודשי השנה,single,N/A,מרץ,‏شَهْر أَذَار,‏شَهْر آذَار,N/A
חודשי השנה,single,N/A,אפריל,‏شَهْر نِيسَان,N/A,N/A
חודשי השנה,single,N/A,מאי,‏شَهْر أَيَّار,N/A,N/A
חודשי השנה,single,N/A,יוני,‏شَهْر حَزِيرَان,‏شَهْر حُزَيْرَان,N/A
חודשי השנה,single,N/A,יולי,‏شَهْر تَمُّوز,N/A,N/A
חודשי השנה,single,N/A,אוגוסט,‏شَهْر آب,N/A,N/A
חודשי השנה,single,N/A,ספטמבר,‏شَهْر أَيْلُول,N/A,N/A
חודשי השנה,single,N/A,אוקטובר,‏شَهْر تِشْرِين ٱلْأَوَّل,N/A,N/A
חודשי השנה,single,N/A,נובמבר,‏شَهْر تِشْرِين ٱلثَّانِي,N/A,N/A
חודשי השנה,single,N/A,דצמבר,‏شَهْر كَانُون ٱلْأَوَّل,N/A,N/A
מיליות,single,N/A,"במשך, במהלך (בעיקר לגבי מילים המציינות זמן)",‏خِلَالَ,N/A,N/A
מיליות,single,N/A,מתחת ל... (under),‏تَحْتَ,N/A,N/A
מיליות,single,N/A,"מסביב ל..., בנוגע ל..., על אודות (about)",‏حَوْلَ,N/A,N/A
פעלים,single,N/A,פרסם (בכתב),‏نَشَرَ,N/A,N/A
פעלים,single,N/A,נכח ב…,‏حَضَرَ,N/A,N/A
פעלים,single,N/A,"דן ב..., חקר (נושא)",‏بَحَثَ,‏بَحَثَ فِي,N/A
פעלים,single,N/A,חיפש אחר / את,‏بَحَثَ عَنْ,N/A,N/A
פעלים,single,N/A,חזר,‏رَجَعَ,N/A,N/A
