group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
שמות עצם,single,N/A,אב,‏أَب,N/A,N/A
שמות עצם,plural,N/A,אב,‏آبَاء,N/A,N/A
שמות עצם,single,N/A,אח,‏أَخ,N/A,N/A
שמות עצם,plural,N/A,אח,‏إِخْوَة,‏إِخْوَان,N/A
שמות עצם,single,N/A,חם,‏حَم,N/A,N/A
שמות עצם,plural,N/A,חם,‏أَحْمَاء,N/A,N/A
שמות עצם,single,N/A,פה,‏فَم,N/A,N/A
שמות עצם,plural,N/A,פה,‏أَفْمَام,N/A,N/A
שמות עצם,single,N/A,"בעל (תכונה, רכוש) (צורת נסמך)",‏ذُو,N/A,N/A
שמות עצם,plural,N/A,"בעל (תכונה, רכוש) (צורת נסמך)",‏ذَوُو,N/A,N/A
שמות עצם,single,N/A,בן,‏إِبْن,N/A,N/A
שמות עצם,single,N/A,בת,‏إِبْنَة,N/A,N/A
שמות עצם,single,N/A,שם,‏إِسْم,N/A,N/A
שמות עצם,single,N/A,"שת, עכוז",‏إِسْت,N/A,N/A
שמות עצם,single,N/A,שניים,‏إِثْنَانِ,N/A,N/A
שמות עצם,single,N/A,שתיים,‏إِثْنَتَانِ,N/A,N/A
שמות עצם,single,N/A,גבר,‏إِمْرُؤ,N/A,N/A
שמות עצם,single,N/A,אישה,‏إِمْرَأَة,N/A,N/A
