group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
שמות עצם,single,N/A,מצב,‏وَضْع,N/A,N/A
שמות עצם,plural,N/A,מצב,‏أَوْضَاع,N/A,N/A
שמות עצם,single,N/A,המצב הביטחוני,‏أَلْوَضْع ٱلْأَمْنِيّ,‏أَلْأَوْضَاع ٱلْأَمْنِيَّة,N/A
שמות עצם,single,N/A,תודה (ש״ע),‏شُكْر,N/A,N/A
שמות עצם,single,N/A,תודה!,‏شُكْرًا,N/A,N/A
שמות עצם,single,N/A,"בכיר, גורם בכיר",‏مَسْؤُول,N/A,N/A
שמות עצם,plural,N/A,"בכיר, גורם בכיר",‏مَسْؤُولُونَ,N/A,N/A
שמות עצם,single,N/A,אחראי ל... / על,‏مَسْؤُول عَنْ,N/A,N/A
שמות עצם,plural,N/A,אחראי ל... / על,‏مَسْؤُولُونَ عَنْ,N/A,N/A
שמות עצם,single,N/A,אחריות ל... / על,‏أَلْمَسْؤُولِيَّة عَنْ,N/A,N/A
שמות עצם,single,N/A,"סיוע, עזרה (צורה נפוצה יותר מ-مُسَاعَدَة)",‏مُسَاعَدَات,N/A,N/A
שמות עצם,single,N/A,"ערך, שווי",‏قِيمَة,N/A,N/A
שמות עצם,plural,N/A,"ערך, שווי",‏قِيَم,N/A,N/A
שמות עצם,single,N/A,מיליון,‏مِلْيُون,N/A,N/A
שמות עצם,plural,N/A,מיליון,‏مَلَايِين,N/A,N/A
שמות עצם,single,N/A,"אבידות, הפסדים, נזקים",‏خَسَائِر,N/A,N/A
שמות עצם,single,N/A,"אבידות כבדות, קשות",‏خَسَائِر فَادِحَة,N/A,N/A
פעלים,single,N/A,נפל,‏سَقَطَ,N/A,N/A
פעלים,single,N/A,"התפרס, התפזר, נפוץ",‏إِنْتَشَرَ,N/A,N/A
פעלים,single,N/A,"יצא (לפעולה), זינק, פרץ, התחיל, יצא (מנקודת מוצא מסויימת)",‏إِنْطَلَقَ,N/A,N/A
פעלים,single,N/A,ללא תרגום (בראש משפט) / ש... (אחרי قَالَ),‏إِنَّ,N/A,N/A
פעלים,single,N/A,ש... (אחרי פעלי חיווי),‏أَنَّ,N/A,N/A
פעלים,single,N/A,כאילו ש...,‏كَأَنَّ,N/A,N/A
פעלים,single,N/A,"מפני ש..., כי, משום ש..., מאחר ש...",‏لِأَنَّ,N/A,N/A
פעלים,single,N/A,הלוואי ש...,‏لَيْتَ,N/A,N/A
פעלים,single,N/A,אבל,‏لَكِنَّ,N/A,N/A
פעלים,single,N/A,אולי,‏لَعَلَّ,N/A,N/A
