group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
שמות עצם,single,N/A,"התנקשות ב… (+ לוואי סומך)",‏إِغْتِيَال,N/A,N/A
שמות עצם,single,N/A,"ההתנקשות ב(חייו של) שר האוצר, רצח שר האוצר",‏إِغْتِيَال وَزِير ٱلْمَالِيَّة,N/A,N/A
שמות עצם,single,N/A,"שר המשפטים (عَدْل = צֶדֶק)",‏وَزِير ٱلْعَدْل,N/A,N/A
שמות עצם,single,N/A,"יסוד, גורם, מרכיב, אדם בארגון מסוים",‏عُنْصُر,N/A,N/A
שמות עצם,plural,N/A,"יסוד, גורם, מרכיב, אדם בארגון מסוים",‏عَنَاصِر,N/A,N/A
שמות עצם,single,N/A,"אנשי חמאס, פעילי חמאס",‏عَنَاصِر حَمَاس,N/A,N/A
שמות עצם,single,N/A,"נאשם, חשוד (ש""ע / ש""ת)",‏مُتَّهَم,N/A,N/A
שמות עצם,plural,N/A,"נאשם, חשוד (ש""ע / ש""ת)",‏مُتَّهَمُونَ,N/A,N/A
שמות עצם,single,N/A,"סוג",‏صِنْف,N/A,N/A
שמות עצם,plural,N/A,"סוג",‏أَصْنَاف,N/A,N/A
שמות עצם,single,N/A,"ביטוי",‏عِبَارَة,N/A,N/A
שמות עצם,plural,N/A,"ביטוי",‏عِبَارَات,N/A,N/A
שמות עצם,single,N/A,"כנף, אגף",‏جَنَاح,N/A,N/A
שמות עצם,plural,N/A,"כנף, אגף",‏أَجْنِحَة,N/A,N/A
שמות עצם,single,N/A,"רעיון, מחשבה",‏فِكْر,N/A,N/A
שמות עצם,plural,N/A,"רעיון, מחשבה",‏أَفْكَار,N/A,N/A
שמות עצם,single,N/A,"עקרון, יסוד, מוצא, מקור",‏مَبْدَأ,N/A,N/A
שמות עצם,plural,N/A,"עקרון, יסוד, מוצא, מקור",‏مَبَادِئ,N/A,N/A
שמות עצם,single,N/A,"מהפכה",‏ثَوْرَة,N/A,N/A
שמות עצם,plural,N/A,"מהפכה",‏ثَوْرَات,N/A,N/A
שמות עצם,single,N/A,"דיונים",‏مُبَاحَثَات,N/A,N/A
שמות עצם,single,N/A,"מציאת פתרון של שלום, למצוא פתרון של שלום",‏إِيجَاد حَلّ سِلْمِيّ,N/A,N/A
שמות עצם,single,N/A,"תפילה",‏صَلَاة,N/A,N/A
שמות עצם,plural,N/A,"תפילה",‏صَلَوَات,N/A,N/A
שמות תואר,single,N/A,"נוכחי, עכשווי",‏حَالِيّ,N/A,N/A
שמות תואר,single,N/A,"עכשיו, כעת, כיום",‏حَالِيًّا,N/A,N/A
שמות תואר,single,N/A,"בולט, עיקרי",‏بَارِز,N/A,N/A
מיליות,single,N/A,"אלא ש...",‏إِلَّا أَنَّ,N/A,N/A
פעלים,single,N/A,"עלה בדעתו של...",‏خَطَرَ لِ,N/A,N/A
פעלים,single,N/A,"היה ברשותו, היה בעל, היה לו (בהווה: יש לו)",‏مَلَكَ,N/A,N/A
פעלים,single,N/A,"יש לי מרצדס (יש לי רכב מסוג מרצדס)",‏أَمْلِكُ سَيَّارَة مَرْسِيدِس,N/A,N/A
פעלים,single,N/A,"נאבק עם, נלחם ב",‏كَافَحَ,N/A,N/A
פעלים,single,N/A,"ערך, ניהל (משא ומתן)",‏أَجْرَى,N/A,N/A
פעלים,single,N/A,"הוליד את",‏أَنْجَبَ,N/A,N/A
פעלים,single,N/A,"נחלק ל...",‏إِنْقَسَمَ إِلَى,N/A,N/A
