group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
שמות עצם,single,N/A,מחיר,‏ثَمَن,N/A,N/A
שמות עצם,single,N/A,מאה,‏مِئَة,N/A,N/A
שמות עצם,plural,N/A,מאה,‏مِئَات,N/A,N/A
שמות עצם,single,N/A,אֶלֶף,‏أَلْف,N/A,N/A
שמות עצם,plural,N/A,אֶלֶף,‏آلَاف,N/A,N/A
שמות עצם,single,N/A,מיליון,‏مَلْيُون,N/A,N/A
שמות עצם,plural,N/A,מיליון,‏مَلَايِين,N/A,N/A
שמות עצם,single,N/A,דֶלֶק,‏وَقُود,‏مَحْرُوقَات,N/A
שמות עצם,single,N/A,מסחר,‏تِجَارَة,N/A,N/A
שמות עצם,single,N/A,מוסלמי,‏مُسْلِم,N/A,N/A
שמות עצם,plural,N/A,מוסלמי,‏مُسْلِمُون,N/A,N/A
שמות עצם,single,N/A,הסכם,‏إِتِّفَاق,‏إِتِّفَاقِيَّة,N/A
שמות תואר,single,N/A,"מצוי, נמצא",‏مَوْجُود,N/A,N/A
שמות תואר,single,N/A,"נוכחי, עכשווי",‏أَلرَّاهِن,N/A,N/A
שמות תואר,single,N/A,בלתי אפשרי,‏مُسْتَحِيل,N/A,N/A
שמות תואר,single,N/A,אי אפשר ל... (בלתי אפשרי ל/ש...),‏مِنَ ٱلْمُسْتَحِيل أَنْ,N/A,N/A
שמות תואר,single,N/A,מסחרי,‏تِجَارِيّ,N/A,N/A
שמות תואר,single,N/A,"מקומי, עירוני",‏بَلَدِيّ,N/A,N/A
פעלים,single,N/A,טען,‏زَعَمَ,N/A,N/A
פעלים,single,N/A,הבריח,‏هَرَّبَ,N/A,N/A
פעלים,single,N/A,החליט ל.,‏قَرَّرَ,N/A,N/A
פעלים,single,N/A,ניסה ל.,‏حَاوَلَ,N/A,N/A
פעלים,single,N/A,"הודיע (על), הכריז, פרסם",‏أَعْلَنَ,N/A,N/A
פעלים,single,N/A,שלח ל... את,‏أَرْسَلَ إِلَى,N/A,N/A
פעלים,single,N/A,"דיווח ל... על, עדכן את... ב…",‏أَبْلَغَ,N/A,N/A
פעלים,single,N/A,"הכשיל, סיכל",‏أَحْبَطَ,N/A,N/A
פעלים,single,N/A,"ציפה ל..., חיכה ל....",‏إِنْتَظَرَ,N/A,N/A
פעלים,single,N/A,"עצר את, שם את... במעצר",‏إِعْتَقَلَ,N/A,N/A
