group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
שמות עצם,single,N/A,"סוגיה, פָּרָשָׁה, תיק (משפטי)",‏قَضِيَّة,N/A,N/A
שמות עצם,plural,N/A,"סוגיה, פָּרָשָׁה, תיק (משפטי)",‏قَضَايَا,N/A,N/A
שמות עצם,single,N/A,מחלה,‏مَرَض,N/A,N/A
שמות עצם,plural,N/A,מחלה,‏أَمْرَاض,N/A,N/A
שמות עצם,single,N/A,סיבה,‏سَبَب,N/A,N/A
שמות עצם,plural,N/A,סיבה,‏أَسْبَاب,N/A,N/A
שמות עצם,single,N/A,קול,‏صَوْت,N/A,N/A
שמות עצם,plural,N/A,קול,‏أَصْوَات,N/A,N/A
שמות עצם,single,N/A,רופא,‏طَبِيب,N/A,N/A
שמות עצם,plural,N/A,רופא,‏أَطِبَّاء,N/A,N/A
שמות עצם,single,N/A,צום רמדאן,‏صَوْم رَمَضَان,N/A,N/A
שמות עצם,single,N/A,מטוס מדגם...,‏طَائِرَة مِنْ طِرَاز,N/A,N/A
שמות עצם,single,female,ארבע,‏أَرْبَع,N/A,N/A
שמות עצם,single,male,ארבעה,‏أَرْبَعَة,N/A,N/A
שמות תואר,single,N/A,רב,‏كَثِير,N/A,N/A
שמות תואר,plural,N/A,רב,‏كَثِيرُونَ,N/A,N/A
שמות תואר,plural,N/A,ילדים רבים (הרבה ילדים),‏أَوْلَاد كَثِيرُونَ,N/A,N/A
שמות תואר,single,N/A,יותר מ...,‏أَكْثَر مِنْ,N/A,N/A
שמות תואר,single,N/A,"הרבה..., ...רבים, רבים מ… (+ רבים מיודע)",‏أَلْكَثِير مِنْ,N/A,N/A
שמות תואר,plural,N/A,"הרבה עניינים, עניינים רבים",‏أَلْكَثِير مِنَ ٱلشُّؤُون,N/A,N/A
שמות תואר,plural,N/A,רבים מחבריי,‏أَلْكَثِير مِنْ رِفَاقِي,N/A,N/A
שמות תואר,single,N/A,מועט,‏قَلِيل,N/A,N/A
שמות תואר,plural,N/A,מועט,‏قَلِيلُونَ,N/A,N/A
שמות תואר,plural,N/A,בנות מעטות (מעט בנות),‏بَنَات قَلِيلَات,N/A,N/A
שמות תואר,single,N/A,פחות מ…,‏أَقَلّ مِنْ,N/A,N/A
שמות תואר,single,N/A,"מעט..., ...מעטים, מעטים מ… (+ רבים מיודע)",‏أَلْقَلِيل مِنْ,N/A,N/A
שמות תואר,plural,N/A,"מעט עניינים, עניינים מעטים",‏أَلْقَلِيل مِنَ ٱلشُّؤُون,N/A,N/A
שמות תואר,plural,N/A,מעטים מהם יודעים ש...,‏يَعْرِفُ ٱلْقَلِيل مِنْهُمْ أَنَّ,N/A,N/A
שמות תואר,single,N/A,גדול,‏كَبِير,N/A,N/A
שמות תואר,plural,N/A,גדול,‏كِبَار,N/A,N/A
שמות תואר,single,N/A,"יותר גדול מ... (גם: יותר גדולה, יותר גדולים, יותר גדולות מ)",‏أَكْبَر مِنْ,N/A,N/A
תוארי פועל ומיליות,single,N/A,כן,‏نَعَمْ,N/A,N/A
תוארי פועל ומיליות,single,N/A,מחר (בהגייה: غَدَنْ),‏غَدًا,N/A,N/A
תוארי פועל ומיליות,single,N/A,"בגלל, בשל",‏بِسَبَب,N/A,N/A
פעלים,single,N/A,"ערך, כינס (ישיבה, ועידה)",‏عَقَدَ,N/A,N/A
פעלים,single,N/A,שמע,‏سَمِعَ,N/A,N/A
