group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
שמות עצם,single,N/A,שש,‏سِتّ,N/A,N/A
שמות עצם,single,N/A,שבע,‏سَبْع,N/A,N/A
שמות עצם,single,N/A,"סיפור, מעשייה",‏حِكَايَة,N/A,N/A
שמות עצם,plural,N/A,"סיפור, מעשייה",‏حِكَايَات,N/A,N/A
שמות עצם,single,N/A,מוזיקה (נ'),‏مُوسِيقَى,N/A,N/A
שמות עצם,single,N/A,שירה,‏غِنَاء,N/A,N/A
שמות עצם,single,N/A,"פסטיבל, חגיגה, יריד",‏مِهْرَجَان,N/A,N/A
שמות עצם,plural,N/A,"פסטיבל, חגיגה, יריד",‏مِهْرَجَانَات,N/A,N/A
שמות עצם,single,N/A,עוצר (מיל': מניעת השוטטות),‏حَظْر ٱلتَّجَوُّل,‏مَنْع ٱلتَّجَوُّل,N/A
שמות עצם,single,N/A,הפגנות,‏تَظَاهُرَات,‏مُظَاهَرَات,N/A
שמות עצם,single,N/A,מפגין,‏مُتَظَاهِر,N/A,N/A
שמות עצם,plural,N/A,מפגין,‏مُتَظَاهِرونَ,N/A,N/A
שמות עצם,single,N/A,מתיחות,‏تَوَتُّر,N/A,N/A
שמות עצם,single,N/A,חומרי נפץ,‏مُتَفَجِّرَات,N/A,N/A
פעלים,single,N/A,"יצר, עיצב, הרכיב, היווה",‏شَكَّلَ,N/A,N/A
פעלים,single,N/A,"הגשים, השיג (מטרה)",‏حَقَّقَ,N/A,N/A
פעלים,single,N/A,"שיפר, השביח",‏حَسَّنَ,N/A,N/A
פעלים,single,N/A,השתתף ב...,‏شَارَكَ فِي,N/A,N/A
פעלים,single,N/A,"היה שותף ל... ב... (רגש, דעה)",‏شَارَكَ,N/A,N/A
פעלים,single,N/A,"הסתבך, היה מעורב ב...",‏تَوَرَّطَ فِي,N/A,N/A
פעלים,single,N/A,"היה נתון ל(סכנה), היה חשוף ל...",‏تَعَرَّضَ لِ,N/A,N/A
פעלים,single,N/A,שוטט,‏تَجَوَّلَ,N/A,N/A
פעלים,single,N/A,הפגין,‏تَظَاهَرَ,N/A,N/A
פעלים,single,N/A,"נפטר, מת",‏تُوُفِّيَ,N/A,N/A
פעלים,single,N/A,התגשם,‏تَحَقَّقَ,N/A,N/A
פעלים,single,N/A,השתפר,‏تَحَسَّنَ,N/A,N/A
פעלים,single,N/A,"הצטרף ל..., נכנס ל...",‏إِنْخَرَطَ فِي,N/A,N/A
שמות עצם,single,N/A,אב,‏أَب,N/A,N/A
שמות עצם,plural,N/A,אב,‏آبَاء,N/A,N/A
שמות עצם,single,N/A,אח,‏أَخ,N/A,N/A
שמות עצם,plural,N/A,אח,‏إِخْوَة,‏إِخْوَان,N/A
שמות עצם,single,N/A,חם,‏حَم,N/A,N/A
שמות עצם,plural,N/A,חם,‏أَحْمَاء,N/A,N/A
שמות עצם,single,N/A,פה,‏فَم,N/A,N/A
שמות עצם,plural,N/A,פה,‏أَفْمَام,N/A,N/A
שמות עצם,single,N/A,"בעל (תכונה, רכוש) (צורת נסמך)",‏ذُو,N/A,N/A
שמות עצם,plural,N/A,"בעל (תכונה, רכוש) (צורת נסמך)",‏ذَوُو,N/A,N/A
שמות עצם,single,N/A,בן,‏إِبْن,N/A,N/A
שמות עצם,single,N/A,בת,‏إِبْنَة,N/A,N/A
שמות עצם,single,N/A,שם,‏إِسْم,N/A,N/A
שמות עצם,single,N/A,"שת, עכוז",‏إِسْت,N/A,N/A
שמות עצם,single,N/A,שניים,‏إِثْنَانِ,N/A,N/A
שמות עצם,single,N/A,שתיים,‏إِثْنَتَانِ,N/A,N/A
שמות עצם,single,N/A,גבר,‏إِمْرُؤ,N/A,N/A
שמות עצם,single,N/A,אישה,‏إِمْرَأَة,N/A,N/A
