group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
שמות עצם,single,N/A,פרטים,‏تَفَاصِيل,N/A,N/A
שמות עצם,single,N/A,צד,‏جَانِب,N/A,N/A
שמות עצם,plural,N/A,צד,‏جَوَانِب,N/A,N/A
שמות עצם,single,N/A,ועדה,‏لَجْنَة,N/A,N/A
שמות עצם,plural,N/A,ועדה,‏لِجَان,N/A,N/A
שמות עצם,single,N/A,הוועד הפועל,‏أَللَّجْنَة ٱلتَّنْفِيذِيَّة,N/A,N/A
שמות עצם,single,N/A,שחרור,‏تَحْرِير,N/A,N/A
שמות עצם,single,N/A,ארגון השחרור,‏مُنَظَّمَة ٱلتَّحْرِير,N/A,N/A
שמות עצם,single,N/A,"איגרת, מסר",‏رِسَالَة,N/A,N/A
שמות עצם,plural,N/A,"איגרת, מסר",‏رَسَائِل,N/A,N/A
שמות עצם,single,N/A,הוד מלכותו,‏جَلَالَة ٱلْمَلِك,N/A,N/A
שמות עצם,single,N/A,כינוי,‏لَقَب,N/A,N/A
שמות עצם,plural,N/A,כינוי,‏أَلْقَاب,N/A,N/A
שמות עצם,single,N/A,"ארץ, עיר",‏بَلَد,N/A,N/A
שמות עצם,plural,N/A,"ארץ, עיר",‏بِلَاد,N/A,N/A
שמות עצם,single,N/A,"חומר, סעיף (במסמך)",‏مَادَّة,N/A,N/A
שמות עצם,plural,N/A,"חומר, סעיף (במסמך)",‏مَوَادّ,N/A,N/A
שמות עצם,single,N/A,שלט,‏لَافِتَة,N/A,N/A
שמות עצם,plural,N/A,שלט,‏لَافِتَات,N/A,N/A
שמות עצם,single,N/A,"מחיר, שער",‏سِعْر,N/A,N/A
שמות עצם,plural,N/A,"מחיר, שער",‏أَسْعَار,N/A,N/A
שמות עצם,single,N/A,"איסור, אמברגו",‏حَظْر,N/A,N/A
פעלים,single,N/A,יש לציין,‏يُذْكَرُ,N/A,N/A
פעלים,single,N/A,עסק ב...,‏مَارَسَ,N/A,N/A
פעלים,single,N/A,"לקח, נטל חלק ב...",‏سَاهَمَ فِي,N/A,N/A
פעלים,single,N/A,הכפיל,‏ضَاعَفَ,N/A,N/A
פעלים,single,N/A,הפתיע,‏فَاجَأَ,N/A,N/A
פעלים,single,N/A,"הבין, תפס, קלט",‏أَدْرَكَ,N/A,N/A
פעלים,single,N/A,הציל,‏أَنْقَذَ,N/A,N/A
פעלים,single,N/A,היה אפשרי,‏أَمْكَنَ,N/A,N/A
פעלים,single,N/A,"עדכן, דיווח ל... על..., הכניס את בסוד העניינים",‏أَطْلَعَ عَلَى,N/A,N/A
פעלים,single,N/A,"גילה, הראה, הוכיח",‏أَظْهَرَ,N/A,N/A
