group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
שמות עצם,single,N/A,פירות,‏فَوَاكِه,N/A,N/A
שמות עצם,single,N/A,מָלוֹן,‏فُنْدُق,N/A,N/A
שמות עצם,plural,N/A,מָלוֹן,‏فَنَادِق,N/A,N/A
שמות עצם,single,female,ארץ,‏بِلَاد,N/A,N/A
שמות עצם,plural,female,ארץ,‏بُلْدَان,N/A,N/A
שמות עצם,single,N/A,ביקור ב...,‏زِيَارَة لِ,N/A,N/A
שמות עצם,plural,N/A,ביקור ב...,‏زِيَارَات لِ,N/A,N/A
שמות תואר,single,N/A,עני,‏فَقِير,N/A,N/A
שמות תואר,plural,N/A,עני,‏فُقَرَاء,N/A,N/A
שמות תואר,single,N/A,"אדיב, מנומס, משכיל, איש–רוח",‏أَدِيب,N/A,N/A
שמות תואר,plural,N/A,"אדיב, מנומס, משכיל, איש–רוח",‏أُدَبَاء,N/A,N/A
פעלים,single,N/A,ירד מ... אל...,‏نَزَلَ مِنْ إِلَى,N/A,N/A
פעלים,single,N/A,התאכסן ב...,‏نَزَلَ فِي,N/A,N/A
פעלים,single,N/A,ערך,‏قَامَ بِـ,N/A,N/A
פעלים,single,N/A,ערך ביקור ב…,‏قَامَ بِزِيَارَة لِ,N/A,N/A
פעלים,single,N/A,ברח מ... אל...,‏هَرَبَ مِنْ إِلَى,N/A,N/A
פעלים,single,N/A,בא מ... אל...,‏قَدِمَ مِنْ إِلَى,N/A,N/A
פעלים,single,N/A,קרא,‏قَرَأَ,N/A,N/A
פעלים,single,N/A,ראה,‏رَأَى,N/A,N/A
פעלים,single,N/A,בנה,‏بَنَى,N/A,N/A
פעלים,single,N/A,ביקר ב... / את,‏زَارَ,N/A,N/A
פעלים,single,N/A,היה,‏كَانَ,N/A,N/A
מיליות,single,N/A,האם (= أَ),‏هَلْ,N/A,N/A
מיליות,single,N/A,אל / ל... (מקום),‏إِلَى,N/A,N/A
מיליות,single,N/A,לא (לשלילה כללית ולשלילת ההווה / עתיד),‏لَا,N/A,N/A
מיליות,single,N/A,לא (לשלילת עבר),‏مَا,N/A,N/A
מיליות,single,N/A,מה ש...,‏مَا,N/A,N/A
מיליות,single,N/A,"מה (מילת שאלה לפני כינוי גוף פרוד / ש""ע)",‏مَا,N/A,N/A
מיליות,single,N/A,מה (מילת שאלה לפני פועל),‏مَاذَا,N/A,N/A
מיליות,single,N/A,מדוע,‏لِمَاذَا,N/A,N/A
מיליות,single,N/A,ל...,‏لِ,N/A,N/A
מיליות,single,N/A,של,‏لِ,N/A,N/A
מיליות,single,N/A,כדי ל...,‏لِ,N/A,N/A
מיליות,single,N/A,אִם,‏إِذَا,N/A,N/A
