group,number,gender,Word hebrew,Word arabic,Word arabic alias,Word arabic alias 2
שמות עצם,single,N/A,"שֶקֶט, רוגע",‏هُدُوء,N/A,N/A
שמות עצם,single,N/A,"צֵל",‏ظِلّ,N/A,N/A
שמות עצם,single,N/A,"בְּצֵל",‏فِي ظِلّ,N/A,N/A
שמות עצם,single,N/A,"חשמל",‏كَهْرَبَاء,N/A,N/A
שמות עצם,single,N/A,"אוֹשֶר",‏سَعَادَة,N/A,N/A
שמות תואר,single,N/A,"רגיל, שגרתי",‏عَادِيّ,N/A,N/A
שמות תואר,single,N/A,"בלתי שגרתי",‏غَيْرُ عَادِيّ,N/A,N/A
שמות תואר,single,N/A,"חדש, מודרני",‏حَدِيث,N/A,N/A
שמות תואר,single,N/A,"מאושר",‏سَعِيد,N/A,N/A
שמות תואר,single,N/A,"חשמלי",‏كَهْرَبَائِيّ,N/A,N/A
שמות תואר,single,N/A,"מהיר",‏سَرِيع,N/A,N/A
מיליות,single,N/A,"באמצעות (by, through)",‏مِنْ خِلَالِ,N/A,N/A
מיליות,single,N/A,"כלומר, דהיינו (במדוברת – يَعْنِي)",‏أَيْ,N/A,N/A
פעלים,single,N/A,"הצליח",‏نَجَحَ,N/A,N/A
פעלים,single,N/A,"סָפַר את",‏عَدَّ,N/A,N/A
פעלים,single,N/A,"חשב את ל...",‏عَدَّ,N/A,N/A
פעלים,single,N/A,"שינה",‏غَيَّرَ,N/A,N/A
פעלים,single,N/A,"האמין, סבר",‏اِعْتَقَدَ,N/A,N/A
פעלים,single,N/A,"נזקק ל..., היה זקוק ל...",‏اِحْتَاجَ إِلَى,‏اِحْتَاجَ لِ,N/A
פעלים,single,N/A,"מחה על...",‏إِحْتَجَّ عَلَى,N/A,N/A
פעלים,single,N/A,"חשב את ל...",‏إِعْتَبَرَ,N/A,N/A
ביטויים,single,N/A,"דעת הקהל",‏أَلرَّأْي ٱلْعَامّ,N/A,N/A
ביטויים,single,N/A,"הרכבת הממשלה",‏تَشْكِيل ٱلْحُكُومَة,N/A,N/A
ביטויים,single,N/A,"במחאה על...",‏إِحْتِجَاجًا عَلَى,N/A,N/A
