group,number,gender,Word hebrew,Word arabic,Word arabic alias
שמות עצם,single,N/A,"מועצה, מושב",‏مَجْلِس,N/A
שמות עצם,plural,N/A,"מועצה, מושב",‏مَجَالِس,N/A
שמות עצם,single,N/A,"עיבוי, הגברה",‏تَكْثِيف,N/A
שמות עצם,single,N/A,הגירה (גם כינוי לעליית היהודים לישראל),‏هِجْرَة,N/A
שמות עצם,single,N/A,מאמץ (ל...),‏جُهْد,N/A
שמות עצם,plural,N/A,מאמץ (ל...),‏جُهُود فِي,N/A
שמות עצם,single,N/A,"תקשורת, מגעים (צורת מצדר רבים בניין 8)",‏إِتِّصَالَات,N/A
שמות עצם,single,N/A,שר התקשורת,‏وَزِير اُلْإِتِّصَالَات,N/A
שמות עצם,single,N/A,"חברה (society), קהילה",‏مُجْتَمَع,N/A
שמות עצם,single,N/A,"אדמה, קרקע, רצפה (נקבה)",‏أَرْض,N/A
שמות עצם,single,N/A,"האדמות הכבושות, השטחים הכבושים",‏أَلْأَرَاضِي اُلْمُحْتَلَّة,N/A
שמות עצם,single,N/A,גיל (age),‏عُمْر,N/A
שמות עצם,plural,N/A,גיל (age),‏أَعْمَار,N/A
שמות עצם,single,N/A,"גילו מגיע לשנתיים, הוא בן שנתיים",‏يَبْلُغُ عُمْرُهُ سَنَتَيْنِ,N/A
שמות עצם,single,N/A,עולם,‏عَالَم,N/A
שמות עצם,single,N/A,הורה,‏وَالِد,N/A
שמות עצם,plural,N/A,הורה,‏وَالِدُون,‏أَلْوَالِدَان
מיליות,single,N/A,בלבד,‏فَقَطْ,N/A
שמות תואר,single,N/A,"הקודם, לשעבר (בעיקר לגבי בעל תפקיד)",‏أَلسَّابِق,N/A
שמות תואר,plural,N/A,"הקודם, לשעבר (בעיקר לגבי בעל תפקיד)",‏أَلسَّابِقُون,N/A
שמות תואר,single,N/A,רחוק מ...,‏بَعِيد,N/A
שמות תואר,plural,N/A,רחוק מ...,‏بُعَاد عَنْ,N/A
פעלים,single,N/A,שם קץ ל...,‏وَضَعَ حَدًّا لِ,N/A
פעלים,single,N/A,לשים (שימת) קץ ל...,‏وَضْعُ حَدٍّ لِ,N/A
פעלים,single,N/A,"השיג, רכש",‏حَصَلَ عَلَى,N/A
פעלים,single,N/A,"קרה, אירע",‏حَصَلَ,N/A
פעלים,single,N/A,הציג את בפני...,‏عَرَضَ عَلَى,N/A
פעלים,single,N/A,התעייף,‏تَعِبَ,N/A
פעלים,single,N/A,שמח,‏فَرِحَ,N/A
פעלים,single,N/A,השקיע מאמצים,‏بَذَلَ جُهُودًا,N/A
