group,number,gender,Word hebrew,Word arabic,Word arabic alias
כינויי גוף,single,N/A,אני,‏أَنَا,N/A
כינויי גוף,single,N/A,אתה,‏أَنْتَ,N/A
כינויי גוף,single,N/A,את,‏أَنْتِ,N/A
כינויי גוף,single,N/A,אתן,‏أَنْتُنَّ,N/A
שמות עצם,single,N/A,בית,‏بَيْت,N/A
שמות עצם,plural,N/A,בית,‏بُيُوت,N/A
שמות עצם,single,N/A,בן,‏أَبْن,N/A
שמות עצם,plural,N/A,בן,‏أَبْنَاء,N/A
שמות עצם,single,N/A,"דלת, שער",‏بَاب,N/A
שמות עצם,plural,N/A,"דלת, שער",‏أَبْوَاب,N/A
שמות עצם,single,N/A,אב,‏أَب,N/A
שמות עצם,single,N/A,אבי... (צורת נסמך / אבי הילדים) עם כינוי קניין (אָבִיךָ),‏أَبُو,N/A
שמות עצם,single,N/A,רהיטים,‏أَثَاث,N/A
שמות עצם,single,N/A,"ילדה, בת",‏بِنْت,N/A
שמות עצם,plural,N/A,"ילדה, בת",‏بَنَات,N/A
מיליות,single,N/A,הוי (מילת פנייה שיש להקדים לשם האדם שאליו פונים),‏يَا,N/A
מיליות,single,N/A,"איפה, היכן",‏أَيْنَ,N/A
מיליות,single,N/A,"...ו (וי""""ו החיבור)",‏وَ,N/A
מיליות,single,N/A,"האם, ...ה (ה""א השאלה בעברית: התשמע קולי...)",‏أَ,N/A
מיליות,single,N/A,או,‏أَوْ,N/A
מיליות,single,N/A,"כדי תוך, במשך, במהלך",‏أَثْنَاءَ,N/A
