group,number,gender,Word hebrew,Word arabic,Word arabic alias
שמות עצם,single,N/A,משרד הקליטה,‏وِزَارَة ٱلِٱسْتِيعَاب,N/A
שמות עצם,single,N/A,סוכנות,‏وِكَالَة,N/A
שמות עצם,plural,N/A,סוכנות,‏وِكَالَات,N/A
שמות עצם,single,N/A,הסוכנות היהודית,‏أَلْوِكَالَة اُلْيَهُودِيَّة,N/A
שמות עצם,single,N/A,העולים החדשים,‏أَلْقَادِمُونَ اُلْجُدُد,N/A
שמות עצם,single,N/A,כל (+ סומך רבים),‏جَمِيع,N/A
שמות עצם,single,N/A,בכל רחבי הארץ,‏فِي جَمِيع أَنْحَاء الْبِلَاد,N/A
שמות עצם,single,N/A,מועצת הביטחון,‏مَجْلِس اُلْأَمْن,N/A
שמות עצם,single,N/A,המפרץ הפרסי,‏أَلْخَلِيج اُلْعَرَبِيّ,N/A
שמות עצם,single,N/A,"שמירה על, הגנה על",‏حِمَايَة,N/A
שמות עצם,single,N/A,"צד, כיוון, אספקט, היבט",‏جِهَة,N/A
שמות עצם,plural,N/A,"צד, כיוון, אספקט, היבט",‏جِهَات,N/A
שמות עצם,single,N/A,"גורמים מדיניים, גורמים פוליטיים",‏جِهَات سِيَاسِيَّة,N/A
שמות עצם,single,N/A,הגורמים הנוגעים בדבר,‏أَلْجِهَات اُلْمَعْنِيَّة,‏أَلْجِهَات اُلْمُخْتَصَّة
שמות עצם,single,N/A,כמות (של),‏كَمِّيَّة,N/A
שמות עצם,plural,N/A,כמויות גדולות של נפט,‏كَمِّيَّات كَبِيرَة مِنَ النِّفْط,N/A
שמות עצם,single,N/A,"מכשיר, מנגנון",‏جِهَاز,N/A
שמות עצם,plural,N/A,"מכשיר, מנגנון",‏أَجْهِزَة,N/A
שמות עצם,single,N/A,"מנגנוני הביטחון, כוחות הביטחון",‏أَجْهِزَة اُلْأَمْن,N/A
שמות עצם,single,N/A,אזרח (במדינה),‏مُوَاطِن,N/A
שמות עצם,plural,N/A,אזרח (במדינה),‏مُوَاطِنون,N/A
שמות עצם,single,N/A,"אזרח, אזרחי (ש""ע ש""ת)",‏مَدَنِيّ,N/A
שמות עצם,plural,N/A,"אזרח, אזרחי (ש""ע ש""ת)",‏مَدَنِيُّون,N/A
פעלים,single,N/A,חתם על,‏وَقَّعَ عَلَى,N/A
פעלים,single,N/A,צילם,‏صَوَّرَ,N/A
פעלים,single,N/A,נבע מ,‏نَبَعَ عَنْ,N/A
פעלים,single,N/A,"שמר, למד בעל-פה",‏حَفِظَ,N/A
פעלים,single,N/A,"הופיע, נגלה, נראה",‏ظَهَرَ,N/A
פעלים,single,N/A,יכול ל,‏قَدَرَ عَلَى,N/A
פעלים,single,N/A,איים על,‏هَدَّدَ,N/A
פעלים,single,N/A,תכנן,‏خَطَّطَ,N/A
פעלים,single,N/A,היה קשור ב...,‏تَعَلَّقَ بِ,N/A
פעלים,single,N/A,הוכפל,‏تَضَاعَفَ,N/A
